total,state,zone,date,sales
total,State 1,Zone P,2023-11-29,6036
total,State 1,Zone P,2023-09-11,3462
total,State 3,Zone P,2020-07-23,4371
total,State 2,Zone R,2023-07-18,4777
total,State 1,Zone R,2020-10-24,8319
total,State 3,Zone Q,2021-09-02,5758
total,State 1,Zone P,2022-10-27,6244
total,State 3,Zone Q,2023-03-26,5130
total,State 1,Zone P,2022-12-28,10241
total,State 1,Zone P,2020-10-19,6303
total,State 1,Zone Q,2020-07-28,3443
total,State 3,Zone P,2020-03-07,5187
total,State 3,Zone R,2020-03-08,5831
total,State 1,Zone Q,2023-01-12,6847
total,State 1,Zone Q,2023-04-12,7315
total,State 3,Zone P,2023-08-12,5077
total,State 1,Zone P,2021-02-04,4309
total,State 1,Zone P,2023-12-07,6879
total,State 3,Zone R,2022-08-19,3976
total,State 2,Zone Q,2020-04-30,9331
total,State 3,Zone P,2023-01-02,3708
total,State 2,Zone Q,2020-12-27,13700
total,State 3,Zone Q,2021-01-20,6783
total,State 3,Zone Q,2020-05-19,5624
total,State 1,Zone R,2022-12-02,7229
total,State 3,Zone P,2022-03-21,4944
total,State 3,Zone R,2020-08-20,4655
total,State 3,Zone P,2020-08-13,4279
total,State 1,Zone R,2023-08-04,5146
total,State 2,Zone Q,2021-05-25,8640
total,State 1,Zone R,2020-05-02,8785
total,State 1,Zone P,2023-11-02,6272
total,State 2,Zone R,2021-03-23,9798
total,State 1,Zone Q,2023-02-23,4284
total,State 3,Zone P,2020-06-20,3557
total,State 3,Zone P,2022-10-15,6077
total,State 1,Zone Q,2022-12-20,7356
total,State 2,Zone Q,2022-07-19,6706
total,State 2,Zone R,2022-06-23,5191
total,State 1,Zone P,2021-10-30,9826
total,State 1,Zone Q,2023-12-03,10576
total,State 2,Zone P,2020-05-28,9270
total,State 1,Zone P,2021-04-04,8631
total,State 1,Zone Q,2023-12-12,8252
total,State 1,Zone Q,2022-11-06,8659
total,State 1,Zone P,2023-07-31,4140
total,State 3,Zone R,2020-03-18,3422
total,State 3,Zone P,2022-11-17,8118
total,State 2,Zone Q,2022-02-12,8226
total,State 2,Zone Q,2021-10-07,11344
total,State 3,Zone R,2023-02-25,7341
total,State 2,Zone R,2020-12-24,14238
total,State 2,Zone R,2022-09-07,11313
total,State 2,Zone R,2023-04-30,8953
total,State 3,Zone P,2023-08-23,2957
total,State 3,Zone R,2022-05-10,5538
total,State 3,Zone Q,2020-12-03,7817
total,State 2,Zone P,2023-08-07,3820
total,State 1,Zone Q,2022-06-19,4128
total,State 2,Zone R,2021-11-30,13928
total,State 3,Zone P,2023-02-02,4121
total,State 2,Zone Q,2022-06-08,4963
total,State 3,Zone R,2023-10-31,5239
total,State 2,Zone P,2020-01-06,11208
total,State 2,Zone P,2022-08-26,7724
total,State 3,Zone R,2020-03-12,3794
total,State 3,Zone Q,2022-02-02,6638
total,State 2,Zone R,2020-02-24,6755
total,State 1,Zone Q,2022-09-10,8653
total,State 3,Zone R,2022-01-03,5484
total,State 3,Zone P,2020-09-01,4941
total,State 3,Zone Q,2021-07-16,4515
total,State 3,Zone P,2020-01-10,6507
total,State 3,Zone Q,2021-04-06,6235
total,State 1,Zone R,2020-02-02,9190
total,State 3,Zone P,2020-08-11,4524
total,State 1,Zone P,2023-01-23,7145
total,State 2,Zone R,2021-02-03,6660
total,State 2,Zone Q,2023-12-09,14161
total,State 1,Zone Q,2023-06-17,3629
total,State 2,Zone Q,2023-02-02,11749
total,State 1,Zone Q,2021-04-13,7407
total,State 2,Zone Q,2021-07-19,3778
total,State 2,Zone R,2023-08-17,5391
total,State 1,Zone Q,2020-10-11,5266
total,State 2,Zone R,2021-01-09,13788
total,State 1,Zone R,2022-06-10,5675
total,State 2,Zone P,2020-05-02,7163
total,State 1,Zone R,2021-12-07,7377
total,State 1,Zone P,2023-12-22,6778
total,State 2,Zone P,2022-06-22,5280
total,State 2,Zone P,2023-10-22,13088
total,State 3,Zone P,2023-06-20,4496
total,State 1,Zone Q,2020-11-03,6744
total,State 3,Zone R,2021-05-11,4696
total,State 2,Zone R,2021-07-17,9263
total,State 3,Zone Q,2023-08-13,3578
total,State 1,Zone P,2023-01-13,8827
total,State 1,Zone R,2022-06-15,5064
total,State 3,Zone Q,2021-08-30,1992
total,State 2,Zone Q,2022-12-27,11556
total,State 1,Zone Q,2022-05-20,8150
total,State 3,Zone P,2022-07-05,4287
total,State 3,Zone P,2020-01-21,8341
total,State 3,Zone P,2021-06-02,4163
total,State 2,Zone R,2020-02-10,5194
total,State 3,Zone R,2023-03-29,3485
total,State 1,Zone R,2023-12-06,9838
total,State 1,Zone Q,2021-11-07,8584
total,State 1,Zone P,2021-07-10,6680
total,State 2,Zone P,2023-01-04,9713
total,State 3,Zone Q,2020-09-22,3678
total,State 1,Zone R,2023-10-09,6343
total,State 3,Zone Q,2022-03-19,7332
total,State 1,Zone R,2022-05-06,6280
total,State 2,Zone Q,2023-04-07,7015
total,State 3,Zone R,2021-12-17,7697
total,State 1,Zone R,2023-11-10,7715
total,State 3,Zone R,2022-11-27,5751
total,State 2,Zone P,2020-02-08,9557
total,State 3,Zone R,2023-02-12,7686
total,State 3,Zone Q,2021-12-27,6109
total,State 1,Zone R,2022-12-19,7301
total,State 3,Zone Q,2020-02-08,4779
total,State 1,Zone R,2023-08-20,5939
total,State 1,Zone P,2023-07-01,6329
total,State 3,Zone Q,2022-05-13,6568
total,State 2,Zone P,2023-01-16,12152
total,State 3,Zone R,2021-08-23,2990
total,State 3,Zone R,2023-05-21,7389
total,State 2,Zone P,2022-11-22,9767
total,State 2,Zone Q,2023-09-26,8923
total,State 3,Zone P,2020-08-18,4460
total,State 2,Zone R,2020-04-25,7731
total,State 3,Zone Q,2022-12-13,4514
total,State 3,Zone R,2020-09-30,4409
total,State 2,Zone Q,2021-10-29,11282
total,State 1,Zone Q,2021-06-24,5758
total,State 2,Zone R,2023-01-25,13689
total,State 1,Zone Q,2023-03-17,4772
total,State 2,Zone Q,2023-05-10,9679
total,State 1,Zone P,2021-03-27,5631
total,State 2,Zone P,2023-10-21,7629
total,State 3,Zone P,2021-10-22,3761
total,State 3,Zone Q,2020-10-12,4799
total,State 2,Zone Q,2022-07-10,6756
total,State 1,Zone P,2021-08-20,3662
total,State 3,Zone P,2022-04-23,4545
total,State 1,Zone R,2021-12-27,7565
total,State 1,Zone Q,2020-04-16,8196
total,State 3,Zone R,2021-02-08,3598
total,State 3,Zone R,2022-03-07,2820
total,State 2,Zone Q,2020-06-26,4275
total,State 1,Zone P,2022-02-15,8215
total,State 1,Zone Q,2021-04-20,7649
total,State 3,Zone P,2020-04-20,3586
total,State 1,Zone Q,2023-06-18,5298
total,State 1,Zone P,2023-08-22,4495
total,State 1,Zone P,2020-01-27,7060
total,State 2,Zone R,2020-07-11,8341
total,State 2,Zone R,2023-12-29,13017
total,State 3,Zone R,2021-12-26,9965
total,State 2,Zone R,2021-09-16,7707
total,State 3,Zone P,2021-03-18,4733
total,State 2,Zone P,2021-04-13,7170
total,State 2,Zone R,2023-11-19,13334
total,State 2,Zone R,2020-11-18,8702
total,State 3,Zone P,2022-12-10,5694
total,State 1,Zone R,2020-05-26,6468
total,State 3,Zone Q,2021-11-24,7434
total,State 1,Zone P,2023-05-21,6201
total,State 3,Zone R,2021-10-26,6052
total,State 1,Zone P,2022-10-02,6377
total,State 3,Zone P,2022-04-21,4517
total,State 3,Zone P,2023-01-30,4082
total,State 2,Zone P,2023-03-03,6013
total,State 2,Zone Q,2021-03-13,13992
total,State 2,Zone P,2022-09-21,9627
total,State 1,Zone P,2020-02-28,5364
total,State 3,Zone Q,2023-09-29,6653
total,State 2,Zone Q,2023-03-11,8643
total,State 3,Zone R,2021-05-29,7198
total,State 2,Zone R,2023-08-29,6540
total,State 3,Zone P,2023-02-11,6851
total,State 2,Zone R,2020-09-10,11535
total,State 3,Zone P,2021-05-01,4071
total,State 2,Zone R,2022-07-31,6219
total,State 1,Zone Q,2023-01-08,7692
total,State 2,Zone Q,2022-03-10,8125
total,State 2,Zone R,2021-03-30,6234
total,State 2,Zone R,2023-05-04,10027
total,State 1,Zone R,2021-10-13,7312
total,State 1,Zone Q,2023-05-20,5535
total,State 2,Zone R,2023-05-09,9929
total,State 1,Zone Q,2023-10-06,7599
total,State 1,Zone R,2022-10-01,6459
total,State 1,Zone R,2022-03-16,6740
total,State 1,Zone Q,2021-10-05,4564
total,State 3,Zone P,2022-04-22,6140
total,State 1,Zone Q,2021-04-06,5612
total,State 2,Zone R,2020-04-20,7272
total,State 1,Zone R,2022-10-18,7631
total,State 2,Zone R,2023-07-22,7186
total,State 1,Zone P,2022-04-30,9189
total,State 1,Zone Q,2020-09-29,6175
total,State 1,Zone P,2022-11-20,7513
total,State 2,Zone P,2020-08-14,7552
total,State 1,Zone R,2021-02-22,5644
total,State 2,Zone R,2021-11-20,12620
total,State 3,Zone Q,2020-03-28,6160
total,State 2,Zone R,2021-09-13,8603
total,State 1,Zone Q,2021-10-21,7383
total,State 1,Zone P,2021-05-07,4464
total,State 2,Zone Q,2022-11-09,12500
total,State 3,Zone Q,2021-10-28,3651
total,State 3,Zone P,2022-09-28,4223
total,State 3,Zone P,2021-05-14,5311
total,State 3,Zone P,2021-12-02,6499
total,State 2,Zone P,2023-03-12,11479
total,State 1,Zone P,2022-02-21,3884
total,State 3,Zone P,2022-12-21,4863
total,State 2,Zone R,2020-12-18,11808
total,State 3,Zone P,2021-01-10,6300
total,State 1,Zone P,2021-09-24,4435
total,State 3,Zone P,2021-10-31,6768
total,State 1,Zone Q,2022-01-04,10463
total,State 1,Zone Q,2020-10-28,4894
total,State 3,Zone R,2020-06-28,3328
total,State 1,Zone P,2020-01-11,12088
total,State 1,Zone R,2022-09-28,6841
total,State 2,Zone P,2021-03-07,11413
total,State 1,Zone P,2022-04-01,4387
total,State 1,Zone P,2023-07-22,6214
total,State 1,Zone P,2023-04-29,5461
total,State 2,Zone P,2023-10-01,9871
total,State 2,Zone P,2020-06-11,6585
total,State 1,Zone Q,2023-03-10,8172
total,State 2,Zone Q,2022-03-09,7637
total,State 1,Zone Q,2020-05-18,5214
total,State 1,Zone P,2022-01-28,8280
total,State 1,Zone P,2022-04-21,8174
total,State 1,Zone Q,2021-07-23,3849
total,State 1,Zone Q,2023-01-06,10107
total,State 2,Zone Q,2020-07-12,7429
total,State 1,Zone Q,2020-05-31,6030
total,State 2,Zone P,2020-02-27,7360
total,State 3,Zone P,2022-09-20,3769
total,State 1,Zone P,2022-07-01,5231
total,State 3,Zone P,2023-10-20,5181
total,State 3,Zone R,2022-04-01,3886
total,State 2,Zone R,2022-11-05,9582
total,State 3,Zone P,2023-06-07,4171
total,State 2,Zone R,2020-08-12,5602
total,State 2,Zone R,2023-05-01,8113
total,State 2,Zone Q,2023-07-12,7191
total,State 1,Zone Q,2022-08-30,3819
total,State 2,Zone P,2020-06-03,6590
total,State 3,Zone Q,2020-10-26,3361
total,State 3,Zone P,2021-01-09,8886
total,State 1,Zone Q,2021-12-20,8090
total,State 2,Zone P,2020-08-26,5007
total,State 3,Zone P,2023-06-19,2958
total,State 3,Zone Q,2020-06-29,3073
total,State 2,Zone P,2021-12-12,14950
total,State 3,Zone P,2023-10-02,3318
total,State 2,Zone P,2020-08-08,8989
total,State 2,Zone P,2022-02-15,7346
total,State 2,Zone Q,2022-01-03,9377
total,State 1,Zone R,2020-07-09,4140
total,State 2,Zone Q,2023-02-07,6545
total,State 2,Zone R,2021-02-16,7063
total,State 3,Zone Q,2020-05-08,3897
total,State 2,Zone P,2021-07-04,7901
total,State 2,Zone R,2022-01-05,13447
total,State 1,Zone Q,2021-09-26,5165
total,State 1,Zone Q,2020-06-09,5116
total,State 1,Zone R,2023-02-23,5602
total,State 2,Zone P,2020-09-25,6101
total,State 3,Zone Q,2023-01-20,6054
total,State 2,Zone P,2023-09-07,7085
total,State 2,Zone R,2020-10-28,6004
total,State 3,Zone Q,2020-06-09,4296
total,State 3,Zone R,2021-11-24,7283
total,State 1,Zone P,2020-06-15,4123
total,State 1,Zone Q,2022-04-24,8181
total,State 1,Zone R,2023-07-16,6610
total,State 1,Zone P,2022-08-17,5682
total,State 3,Zone P,2021-10-10,6264
total,State 1,Zone P,2023-11-14,10082
total,State 2,Zone R,2020-09-22,6400
total,State 3,Zone Q,2023-10-21,4105
total,State 3,Zone P,2023-05-13,5547
total,State 3,Zone P,2021-03-26,4669
total,State 3,Zone R,2022-01-09,6537
total,State 1,Zone Q,2022-02-15,5657
total,State 1,Zone Q,2020-10-19,5761
total,State 3,Zone P,2021-09-22,4534
total,State 3,Zone R,2020-12-04,4946
total,State 2,Zone R,2021-01-13,14021
total,State 3,Zone Q,2020-07-09,3765
total,State 2,Zone Q,2022-05-27,8102
total,State 1,Zone Q,2022-07-28,4481
total,State 2,Zone R,2021-07-21,4521
total,State 3,Zone R,2021-05-15,5636
total,State 1,Zone Q,2020-01-02,10408
total,State 1,Zone P,2022-08-21,6342
total,State 1,Zone R,2021-01-15,7593
total,State 2,Zone P,2023-11-13,7850
total,State 2,Zone R,2023-11-27,8645
total,State 3,Zone R,2020-06-21,5397
total,State 2,Zone P,2021-08-22,8592
total,State 2,Zone P,2023-08-01,6980
total,State 2,Zone P,2023-02-03,9962
total,State 3,Zone P,2020-09-27,7235
total,State 2,Zone Q,2021-06-07,5686
total,State 3,Zone R,2022-06-21,4271
total,State 2,Zone R,2023-07-29,6114
total,State 2,Zone Q,2022-06-15,4421
total,State 1,Zone P,2020-03-07,7957
total,State 2,Zone P,2020-08-20,6077
total,State 2,Zone R,2023-08-16,5646
total,State 2,Zone R,2020-02-18,10112
total,State 2,Zone R,2022-10-18,11350
total,State 3,Zone R,2020-08-31,3542
total,State 3,Zone Q,2023-12-08,8082
total,State 1,Zone R,2021-02-03,6441
total,State 3,Zone Q,2020-06-02,3391
total,State 1,Zone R,2021-08-11,4629
total,State 1,Zone R,2020-11-10,8612
total,State 1,Zone P,2023-12-20,5499
total,State 3,Zone P,2021-04-15,6234
total,State 2,Zone P,2023-05-09,7904
total,State 1,Zone R,2021-09-27,3453
total,State 3,Zone R,2022-04-24,7717
total,State 3,Zone Q,2021-05-15,6722
total,State 3,Zone Q,2023-09-26,5905
total,State 2,Zone P,2020-05-15,11042
total,State 1,Zone Q,2022-05-26,7060
total,State 1,Zone P,2020-03-09,4068
total,State 1,Zone Q,2020-01-05,8933
total,State 2,Zone P,2023-06-23,5753
total,State 2,Zone Q,2021-01-18,10931
total,State 3,Zone Q,2022-08-09,4336
total,State 2,Zone P,2020-02-25,8034
total,State 2,Zone P,2020-04-01,6406
total,State 2,Zone Q,2023-10-29,12152
total,State 1,Zone Q,2021-07-10,6811
total,State 3,Zone Q,2020-04-20,4498
total,State 2,Zone Q,2023-08-20,7604
total,State 3,Zone Q,2020-05-29,4364
total,State 3,Zone P,2022-09-14,4347
total,State 2,Zone Q,2023-03-22,7389
total,State 3,Zone Q,2020-03-21,5918
total,State 2,Zone P,2023-12-05,8003
total,State 2,Zone R,2020-07-23,7877
total,State 2,Zone Q,2021-09-19,10166
total,State 2,Zone R,2022-07-06,6094
total,State 1,Zone R,2021-10-11,4216
total,State 1,Zone P,2020-05-05,6593
total,State 3,Zone P,2020-11-10,6052
total,State 2,Zone P,2021-08-24,6508
total,State 2,Zone P,2021-06-07,5922
total,State 2,Zone R,2021-01-11,9407
total,State 1,Zone R,2021-03-17,7616
total,State 1,Zone Q,2023-02-11,8769
total,State 1,Zone R,2022-03-02,6784
total,State 2,Zone R,2021-06-02,7511
total,State 2,Zone Q,2022-01-29,15363
total,State 3,Zone Q,2022-10-30,7832
total,State 3,Zone Q,2020-07-13,2953
total,State 2,Zone R,2022-07-20,7915
total,State 3,Zone Q,2023-04-04,4436
total,State 3,Zone Q,2023-03-10,5933
total,State 2,Zone R,2020-07-28,7827
total,State 3,Zone P,2023-01-11,8456
total,State 2,Zone P,2022-07-09,7637
total,State 1,Zone P,2020-07-18,4118
total,State 2,Zone P,2022-04-14,11235
total,State 1,Zone R,2021-01-12,10345
total,State 1,Zone R,2021-09-13,4254
total,State 3,Zone Q,2021-07-12,2596
total,State 2,Zone P,2021-07-29,5460
total,State 1,Zone R,2022-07-15,3197
total,State 1,Zone P,2022-04-28,7183
total,State 1,Zone P,2020-02-06,6878
total,State 1,Zone P,2022-03-01,5173
total,State 3,Zone R,2023-12-11,6945
total,State 1,Zone Q,2020-03-21,8318
total,State 3,Zone R,2021-08-19,2446
total,State 3,Zone P,2022-12-25,6675
total,State 3,Zone R,2020-05-25,2821
total,State 3,Zone R,2022-02-28,3154
total,State 2,Zone R,2023-03-08,8254
total,State 2,Zone P,2023-07-25,7480
total,State 3,Zone P,2021-09-12,5870
total,State 2,Zone R,2022-05-19,6190
total,State 2,Zone Q,2020-12-19,12264
total,State 1,Zone Q,2021-01-20,6794
total,State 2,Zone P,2020-04-15,11349
total,State 1,Zone R,2023-05-14,5352
total,State 2,Zone P,2020-07-21,7296
total,State 1,Zone P,2023-10-06,5700
total,State 3,Zone R,2020-07-10,3594
total,State 2,Zone P,2022-02-03,10581
total,State 1,Zone R,2021-01-27,7445
total,State 3,Zone P,2020-01-15,5822
total,State 1,Zone Q,2022-07-23,3990
total,State 3,Zone R,2020-03-28,7804
total,State 1,Zone P,2023-08-16,4777
total,State 3,Zone Q,2020-01-19,8963
total,State 1,Zone Q,2020-04-04,8017
total,State 3,Zone R,2022-04-10,6380
total,State 3,Zone P,2022-10-10,4148
total,State 3,Zone R,2020-04-08,6439
total,State 1,Zone P,2022-08-10,3195
total,State 1,Zone Q,2020-05-28,6576
total,State 1,Zone P,2020-03-30,3975
total,State 2,Zone Q,2023-10-28,11468
total,State 2,Zone P,2020-12-16,14371
total,State 1,Zone P,2021-09-06,6413
total,State 3,Zone P,2020-05-13,6065
total,State 2,Zone P,2022-10-11,10892
total,State 1,Zone P,2023-06-09,5745
total,State 3,Zone R,2022-01-06,8115
total,State 3,Zone R,2021-05-10,4679
total,State 2,Zone Q,2021-09-06,8558
total,State 3,Zone P,2021-03-10,4711
total,State 3,Zone R,2023-05-08,5369
total,State 2,Zone R,2020-05-24,11574
total,State 2,Zone P,2023-01-31,13752
total,State 2,Zone Q,2022-10-27,6979
total,State 1,Zone R,2022-04-10,7667
total,State 2,Zone R,2023-07-26,5848
total,State 3,Zone P,2020-12-17,7151
total,State 1,Zone Q,2023-06-23,4763
total,State 2,Zone R,2023-09-21,7187
total,State 1,Zone P,2023-10-09,4074
total,State 2,Zone Q,2023-04-26,10117
total,State 1,Zone Q,2021-09-01,6147
total,State 3,Zone Q,2021-05-28,4840
total,State 3,Zone P,2021-02-09,6561
total,State 1,Zone P,2020-08-30,4233
total,State 3,Zone R,2021-07-08,4175
total,State 2,Zone R,2022-06-04,8035
total,State 2,Zone P,2021-09-07,6120
total,State 3,Zone P,2022-09-05,4912
total,State 2,Zone P,2022-05-10,7760
total,State 2,Zone Q,2023-09-14,6364
total,State 2,Zone P,2023-02-24,11131
total,State 3,Zone P,2020-07-26,3259
total,State 2,Zone R,2021-10-27,11581
total,State 1,Zone Q,2022-08-28,4810
total,State 2,Zone P,2022-07-19,4459
total,State 2,Zone P,2020-02-16,12180
total,State 2,Zone R,2020-07-24,5493
total,State 2,Zone P,2023-09-11,5503
total,State 3,Zone P,2020-04-24,4816
total,State 3,Zone P,2020-05-17,5710
total,State 3,Zone Q,2020-01-21,5731
total,State 1,Zone P,2021-04-01,6923
total,State 3,Zone P,2023-06-21,3569
total,State 3,Zone Q,2020-03-30,4645
total,State 2,Zone Q,2023-07-16,6492
total,State 1,Zone Q,2020-05-26,8110
total,State 1,Zone P,2023-12-29,7371
total,State 3,Zone P,2021-09-28,5646
total,State 3,Zone P,2021-09-15,4622
total,State 2,Zone Q,2022-11-19,13264
total,State 3,Zone Q,2020-04-10,4765
total,State 2,Zone P,2022-05-19,5987
total,State 3,Zone P,2020-03-28,6821
total,State 3,Zone Q,2021-01-19,4835
total,State 3,Zone P,2023-04-17,4111
total,State 2,Zone P,2022-03-25,9957
total,State 2,Zone R,2022-08-06,5626
total,State 1,Zone P,2021-01-15,7784
total,State 2,Zone P,2022-01-31,7613
total,State 3,Zone P,2020-01-22,8048
total,State 1,Zone Q,2021-09-08,7134
total,State 3,Zone P,2021-09-29,5099
total,State 2,Zone R,2020-09-23,7308
total,State 3,Zone R,2020-09-14,3326
total,State 2,Zone P,2023-10-06,11336
total,State 2,Zone Q,2023-12-03,15470
total,State 2,Zone P,2020-02-21,6224
total,State 2,Zone Q,2020-10-20,10546
total,State 1,Zone P,2021-09-16,8182
total,State 2,Zone P,2022-09-17,13357
total,State 2,Zone R,2021-11-23,8540
total,State 1,Zone Q,2022-04-04,5460
total,State 1,Zone P,2021-03-07,7436
total,State 1,Zone R,2022-07-23,5813
total,State 2,Zone R,2021-02-05,6259
total,State 1,Zone Q,2022-05-22,6230
total,State 2,Zone R,2020-09-04,11116
total,State 1,Zone R,2022-02-08,6983
total,State 3,Zone R,2022-03-12,5587
total,State 1,Zone R,2021-03-07,5640
total,State 3,Zone Q,2022-10-14,4707
total,State 2,Zone P,2022-05-01,9737
total,State 2,Zone R,2021-09-04,7283
total,State 1,Zone R,2020-04-14,4831
total,State 3,Zone R,2020-10-26,3413
total,State 3,Zone P,2022-08-01,2156
total,State 1,Zone R,2022-02-13,5446
total,State 1,Zone R,2020-05-01,5256
total,State 3,Zone R,2022-01-25,5059
total,State 3,Zone Q,2022-06-30,2621
total,State 1,Zone Q,2021-09-15,8186
total,State 3,Zone R,2021-02-07,4256
total,State 3,Zone P,2022-12-05,5882
total,State 3,Zone R,2020-12-30,5996
total,State 3,Zone R,2020-02-01,4791
total,State 3,Zone R,2023-05-19,5643
total,State 1,Zone R,2022-12-31,12181
total,State 3,Zone R,2023-02-24,4990
total,State 1,Zone R,2023-02-09,6069
total,State 3,Zone P,2020-08-06,4611
total,State 3,Zone P,2021-05-28,4072
total,State 2,Zone Q,2022-04-30,8853
total,State 1,Zone R,2023-06-01,3968
total,State 3,Zone P,2020-10-10,4057
total,State 3,Zone R,2020-02-07,4188
total,State 3,Zone Q,2021-05-12,5493
total,State 3,Zone Q,2023-07-06,3071
total,State 3,Zone P,2020-07-24,4526
total,State 2,Zone R,2023-07-05,5296
total,State 3,Zone Q,2021-10-21,4267
total,State 2,Zone Q,2022-06-02,6190
total,State 1,Zone P,2020-04-30,7097
total,State 1,Zone P,2023-09-25,4396
total,State 2,Zone R,2020-08-18,4425
total,State 2,Zone P,2022-10-08,12637
total,State 2,Zone P,2022-12-25,15263
total,State 3,Zone Q,2023-01-31,5965
total,State 2,Zone Q,2023-08-23,6673
total,State 3,Zone Q,2022-08-11,2849
total,State 3,Zone Q,2023-04-16,7459
total,State 3,Zone R,2022-09-27,4775
total,State 3,Zone R,2020-06-22,3562
total,State 2,Zone R,2023-02-21,11446
total,State 1,Zone Q,2021-06-17,4592
total,State 3,Zone R,2023-06-07,3105
total,State 2,Zone Q,2021-12-15,8810
total,State 2,Zone P,2021-06-26,7023
total,State 3,Zone Q,2023-10-23,4716
total,State 3,Zone R,2021-10-02,5078
total,State 3,Zone R,2022-02-04,5435
total,State 2,Zone R,2022-05-06,10222
total,State 3,Zone R,2023-10-04,3877
total,State 2,Zone P,2023-11-11,11052
total,State 2,Zone P,2020-02-19,7484
total,State 1,Zone P,2022-05-20,6214
total,State 3,Zone P,2023-03-01,3744
total,State 3,Zone Q,2023-03-14,5319
total,State 3,Zone P,2020-03-09,3880
